,FILE_NAME,POSITION,salary_start,OPEN_DATE,REQUIREMENTS,DUTIES,EXAM_TYPE,notes,EXPERIENCE_LENGTH,FULL_TIME_PART_TIME,EDUCATION_YEARS,SCHOOL_TYPE,DRIVERS_LICENSE_REQ
0,311 DIRECTOR  9206 041814.txt,311 director,"['125,175', '155,514']",2014-04-18,"1. One year of full-time paid experience as a Senior Management Analyst with the City of Los Angeles or in a class which is at least at the level which provides professional experience in supervisory or managerial work relating to a call center with at least 50 call agents or a call center that receives at least one million calls annually; or2. A Bachelor's degree from a recognized college or university and four years of full-time paid experience in a call center environment with at least 50 call agents or a call center that receives at least one million calls annually, two years of which must be supervising staff working at such a call center; or3. Eight years of full-time paid experience in a call center environment with at least 50 call agents or call center that receives at least one million calls annually, two years of which must be supervising staff working at such a call center.NOTES:1. In addition to the regular City application, all applicants must complete a 311 Director Qualifications Questionnaire at the time of filing.  The 311 Director Qualifications Questionnaire is located within the Qualifications Questions section of the City application.  Applicants who fail to complete the Qualifications Questionnaire will not be considered further in this examination, and their application will not be processed.2. Applicants who lack six months or less of the required experience may file for this examination. However, they cannot be appointed until the full experience requirement is met.3. Call center experience related to sales and telemarketing is excluded.4. Customer Relations Management (CRM) systems expertise, including implementation, integration, and knowledge base creation is highly desired. WHERE TO APPLYApplications will only be accepted online. When you are viewing the online job bulletin of your choice, simply scroll to the top of the page and select the ""Apply"" icon. Online job bulletins are also available at http://agency.governmentjobs.com/lacity/default.cfm for Open Competitive Examinations and at http://agency.governmentjobs.com/lacity/default.cfm?promotionaljobs=1 for Promotional Examinations. ","A 311 Director is responsible for the successful operation and expansion of the 311 Call Center in the Information Technology Agency (ITA) which answers call from constituents regarding Citywide services provided by City departments; works to ensure the efficient and effective resolution of any issues that may arise; plans, directs, hires, coaches, and coordinates a large staff of professional, technical and clerical employees engaged in the implementation, administration, and operations of the City's 311 Call Center; applies sound supervisor principles and techniques in building and maintaining and effective work force; fulfills equal opportunity responsibilities; and does related work.",INTERDEPARTMENTAL PROMOTIONAL AND AN OPEN COMPETITIVE BASIS,":1. In addition to the regular City application, all applicants must complete a 311 Director Qualifications Questionnaire at the time of filing.  The 311 Director Qualifications Questionnaire is located within the Qualifications Questions section of the City application.  Applicants who fail to complete the Qualifications Questionnaire will not be considered further in this examination, and their application will not be processed.2. Applicants who lack six months or less of the required experience may file for this examination. However, they cannot be appointed until the full experience requirement is met.3. Call center experience related to sales and telemarketing is excluded.4. Customer Relations Management (CRM) systems expertise, including implementation, integration, and knowledge base creation is highly desired. ",one,FULL TIME,zero,college or university,N
1,ACCOUNTANT 1513 062218.txt,accountant,"['49,903', '72,996', '55,019', '80,472']",2018-06-22,Graduation from an accredited four-year college or university and at least 24 semester or 36 quarter units in accounting.,"An Accountant does professional accounting work in the analysis, preparation, maintenance, control, and reconciliation of financial records and reports in accordance with the principles of governmental and public accounting.",OPEN COMPETITIVE BASIS,":1. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.2. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.3. Annual salary is at the start of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.DUTIESAn Accountant does professional accounting work in the analysis, preparation, maintenance, control, and reconciliation of financial records and reports in accordance with the principles of governmental and public accounting.REQUIREMENT/MINIMUM QUALIFICATIONGraduation from an accredited four-year college or university and at least 24 semester or 36 quarter units in accounting.PROCESS NOTES1. Please note that qualifying education must be from a college or university accredited by a City of Los Angeles recognized agency. A list of approved accrediting agencies can be found at http://per.lacity.org/Accredited%20Institutions%2008-21-08.pdf.2. Course titles, number of units and completion dates for each course must be listed in the City application, if you did not receive a degree in Accounting.3. Applicants who are within one semester or one quarter of obtaining their degrees may apply. Such applicants cannot be appointed until they have received their degrees.4. Some positions may require a valid California driver's license. Candidates may not be eligible for appointment to these positions if their record within the last 36 months reflects three or more moving violations and/or at-fault accidents, or a conviction of a major moving violation (such as DUI).5. Candidates completing the exam process will be contacted by the Personnel Department to provide required proof of qualifying degree and/or coursework. Applicants who wish to expedite this process may attach a copy of their transcripts (annotated with accounting courses, credit earned, and grade received) or qualifying degree to their on-line application at the time of filing in the Attachments section.",zero,_,four,college or university,M
2,ACCOUNTING CLERK 1223 071318.txt,accounting clerk,"['49,005', '71,618']",2018-07-13,"Two years of full-time paid office clerical experience, including one year of full-time paid clerical accounting work.Successful completion of 6 semester or 9 quarter units in bookkeeping or accounting from an accredited trade school, college or university may be substituted for a maximum of six months of the above required experience. ","An Accounting Clerk performs difficult and responsible clerical accounting work in the review, preparation, processing, reconciliation, and maintenance of accounting records and reports, or payroll and time keeping documents; processing and monitoring of invoice payments, and personal services contract invoice payments; may perform cashiering duties; or may act as a lead person in the performance of such work.",INTERDEPARTMENTAL PROMOTIONAL AND OPEN COMPETITIVE BASIS,"1. Applicants who lack six months or less of the required experience may file for this examination. However, they cannot be appointed until the full experience requirement is met.2. Applicants wishing to substitute completion of 6 semester or 9 quarter units in bookkeeping or accounting for experience must list their school name and location, appropriate course titles, their respective number of semester or quarter units, and completion dates for each course claimed as qualifying in the Supplemental Questions section of the on-line application. Applicants who fail to provide this information on their application will not be considered further in this examination. 3. Applicants must list their clerical accounting experience, including the percentage of time spent performing these duties, separately in the Supplemental Questions Section of the on-line application. Applicants who fail to provide this information on their application will not be considered further in this examination.4. Please note that qualifying education must be from a college or university accredited by a City of Los Angeles recognized agency. A list of approved accrediting agencies can be found at http://per.lacity.org/Accredited%20Institutions%2008-21-08.pdf. 5. Candidates completing the examination process will be contacted by the Personnel Department to provide required proof of completion of qualifying coursework. Applicants who wish to expedite this process may attach a copy of their transcripts (annotated with bookkeeping or accounting courses, credit earned, and grade received) in the Attachments section of the on-line application at the time of filing. 6. Retail cashiering does not qualify as clerical accounting experience.",two,FULL TIME,zero,college or university,N
3,ACCOUNTING RECORDS SUPERVISOR 1119 072718.txt,accounting records supervisor,"['55,332', '80,930', '65,145', '95,254']",2018-07-27,"Two years of full-time paid experience as an Accounting Clerk, or in a class at the level of Senior Administrative Clerk (formerly Senior Clerk) which provides experience in office clerical accounting or cashiering.","An Accounting Records Supervisor assigns, reviews and evaluates the work of a group of clerical employees engaged in the preparation, processing, and maintenance of a wide variety of accounting or financial records; or supervises accounting clerical personnel serving as cashiers or tellers; applies sound supervisory techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",INTERDEPARTMENTAL PROMOTIONAL BASIS,":1. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.2. Annual salary is at the start of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.DUTIESAn Accounting Records Supervisor assigns, reviews and evaluates the work of a group of clerical employees engaged in the preparation, processing, and maintenance of a wide variety of accounting or financial records; or supervises accounting clerical personnel serving as cashiers or tellers; applies sound supervisory techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.REQUIREMENT/MINIMUM QUALIFICATIONTwo years of full-time paid experience as an Accounting Clerk, or in a class at the level of Senior Administrative Clerk (formerly Senior Clerk) which provides experience in office clerical accounting or cashiering.PROCESS NOTE  Applicants who lack six months or less of the required experience may file for this examination. However, they cannot be appointed until the full experience requirement is met.",two,FULL TIME,zero,No School Type,N
4,ADMINISTRATIVE ANALYST 1590 060118.txt,administrative analyst,"['60,489', '88,468', '71,451', '104,462']",2018-06-01,"1. One year of full-time paid professional experience as a Management Assistant with the City of Los Angeles with experience in budgetary analysis and control, administrative analysis and research, systems and procedures analysis, or personnel administration; or2. Two years of full-time paid experience as a Management Aide with the City of Los Angeles with experience in budgetary analysis and control, administrative analysis and research, systems and procedures analysis, or personnel administration; or3. One year of full-time paid experience with the City of Los Angeles as a Chief Clerk or in a clerical class at that level.A bachelor's degree from an accredited four-year college or university may substitute for one year of full-time paid experience as a Management Aide in Requirement #2.","An Administrative Analyst performs professional work in the Office of the City Administrative Officer investigating, assembling, and interpreting facts and making reports and recommendations in administrative, fiscal, budgetary, compensation, facilities, contract analysis, capital projects or procedural analysis of City activities and services.",INTERDEPARTMENTAL PROMOTIONAL BASIS,":1. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.2. Annual salary is at the start of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.DUTIESAn Administrative Analyst performs professional work in the Office of the City Administrative Officer investigating, assembling, and interpreting facts and making reports and recommendations in administrative, fiscal, budgetary, compensation, facilities, contract analysis, capital projects or procedural analysis of City activities and services.REQUIREMENTS/MINIMUM QUALIFICATIONS1. One year of full-time paid professional experience as a Management Assistant with the City of Los Angeles with experience in budgetary analysis and control, administrative analysis and research, systems and procedures analysis, or personnel administration; or2. Two years of full-time paid experience as a Management Aide with the City of Los Angeles with experience in budgetary analysis and control, administrative analysis and research, systems and procedures analysis, or personnel administration; or3. One year of full-time paid experience with the City of Los Angeles as a Chief Clerk or in a clerical class at that level.A bachelor's degree from an accredited four-year college or university may substitute for one year of full-time paid experience as a Management Aide in Requirement #2.PROCESS NOTES1. In addition to the regular City application, all applicants must complete an Administrative Analyst Qualifications Questionnaire at the time of filing. The Administrative Analyst Qualifications Questionnaire is located within the Supplemental Questions section of the City application. Applicants who fail to complete the Qualifications Questionnaire will not be considered further in this examination, and their application will not be processed.2. Applicants who lack six months or less of the required experience may file for this examination. However, they cannot be appointed until the full experience requirement is met.3. Some positions may require a valid California driver's license. Candidates may not be eligible for appointment to these positions if their record within the last 36 months reflects three or more moving violations and/or at-fault accidents, or a conviction of a major moving violation (such as DUI).4. Please note that qualifying education must be from a college or university accredited by a City of Los Angeles recognized agency. A list of approved accrediting agencies can be found at http://per.lacity.org/Accredited%20institutions%2008-21-08.pdf.5. Candidates completing the examination process will be contacted by the Personnel Department to provide required proof of qualifying degree. ",one,FULL TIME,four,college or university,M
5,ADMINISTRATIVE CLERK 1358 033018 (2).txt,administrative clerk ,"['37,584', '54,935', '43,785', '43,263', '53,766', '49,631', '61,679']",2018-03-30,ix months of full-time paid experience in clerical work or retail sales.,"An Administrative Clerk performs general office work, which may include customer service, basic word processing, data entry, filing and organizing, and related work.",OPEN COMPETITIVE BASIS,":1. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.2. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.3. Annual salary is at the start of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer.DUTIESAn Administrative Clerk performs general office work, which may include customer service, basic word processing, data entry, filing and organizing, and related work.REQUIREMENT/MINIMUM QUALIFICATIONSix months of full-time paid experience in clerical work or retail sales.PROCESS NOTES1. High school graduation is desired but not required.2. Some positions may require the ability to type quickly and accurately. Therefore, some City departments may test your typing speed and accuracy at the time of the department selection process. You will be notified if a typing test is required. 3. Some positions may require a valid California driver's license. Candidates may not be eligible for appointment to these positions if their record within the last 36 months reflects three or more moving violations and/or at-fault accidents, or a conviction of a major moving violation (such as DUI).",zero,FULL TIME,zero,No School Type,M
6,ADMINISTRATIVE HEARING EXAMINER 9135 100915.txt,administrative hearing examiner,"['54,726', '80,012']",2015-10-09,"1. Two years of full-time paid experience with the City of Los Angeles as a Management Assistant or Management Aide interpreting and applying State and Federal regulations, City ordinances, the City Administrative Code and/or the City Charter; or2. Two years of full-time paid experience with the City of Los Angeles as a Senior Traffic Supervisor; or3. Two years of full-time paid experience with the City of Los Angeles as a Transportation Investigator or in a class at that level conducting administrative hearings on appeals, interviewing respondents and witnesses, and preparing written decisions based upon findings; or4. 520 hours of paid experience with the City of Los Angeles within the past two years from the date of filing as an exempt or contract Administratve Hearing Examiner. NOTES:1. Applicants who lack six months or less of the required experience qualifying under Requirements 1-3 may file for this examination, However, they cannot be appointed until the full experience requirement is met.2. Some positions may require a valid California driver's license. Candidates may not be eligible for appointment to these positions if their record within the last 36 months reflects three or more moving violations and/or at-fault accidents, or a conviction of a major moving violation (such as DUI).3. Applicants qualifying under Requirement #3 (with the exception of Transportation Investigators) must submit a copy of their completed and signed City of Los Angeles ""Verification of Work Experience"" (VWE) form. The form may be downloaded at http://per.lacity.org/exams/vwe-sup.pdf or may be obtained at the Personnel Department, Room 100, 700 E. Temple Street, Los Angeles, CA 90012. Applicants may attach the completed VWE form to their on-line application at the time of filing or will have seven (7) calendar days from the on-line submission date to submit a copy of their completed VWE form to: Personnel Department, Room 100, 700 E. Temple Street, Los Angeles, CA 90012. Applicants who fail to submit the documents within the time required will not be considered candidates in this examination and their applications will not be processed.4. Applicants qualifying under Requirement #4 must submit a copy of their completed and signed City of Los Angeles ""Verification of Work Experience"" form indicating the number of hours worked from the appointing City Department. The form may be downloaded at http://per.lacity.org/exams/vwe-sup.pdf or may be obtained at the Personnel Department, Room 100, 700 E. Temple Street, Los Angeles, CA 90012.  Applicants may attach the completed VWE form to their on-line application at the time of filing or will have seven (7) calendar days from the on-line submission date to submit a copy of their completed VWE form to: Personnel Department, Room 100, 700 E. Temple Street, Los Angeles, CA 90012. Applicants who fail to submit the documents within the time required will not be considered candidates in this examination and their applications will not be processed.5. Experience with a personal computer using word processing and database software is desired.WHERE TO APPLYApplications will only be accepted on-line. When you are viewing the on-line job bulletin of your choice, simply scroll to the top of the page and select the ""Apply"" icon. On-line job bulletins are also available at http://agency.governmentjobs.com/lacity/default.cfm for Open Competitive Examinations and at http://agency.governmentjobs.com/lacity/default.cfm?promotionaljobs=1 for Promotional Examinations.","An Administrative Hearing Examiner conducts quasi-judicial administrative hearings on appeals on parking violation citations, adjudicates written declaration requests for reconsideration of parking violation citations, conducts vehicle impound hearings, and does related work.",INTERDEPARTMENTAL PROMOTIONAL AND OPEN COMPETITIVE BASIS,":1. Applicants who lack six months or less of the required experience qualifying under Requirements 1-3 may file for this examination, However, they cannot be appointed until the full experience requirement is met.2. Some positions may require a valid California driver's license. Candidates may not be eligible for appointment to these positions if their record within the last 36 months reflects three or more moving violations and/or at-fault accidents, or a conviction of a major moving violation (such as DUI).3. Applicants qualifying under Requirement #3 (with the exception of Transportation Investigators) must submit a copy of their completed and signed City of Los Angeles ""Verification of Work Experience"" (VWE) form. The form may be downloaded at http://per.lacity.org/exams/vwe-sup.pdf or may be obtained at the Personnel Department, Room 100, 700 E. Temple Street, Los Angeles, CA 90012. Applicants may attach the completed VWE form to their on-line application at the time of filing or will have seven (7) calendar days from the on-line submission date to submit a copy of their completed VWE form to: Personnel Department, Room 100, 700 E. Temple Street, Los Angeles, CA 90012. Applicants who fail to submit the documents within the time required will not be considered candidates in this examination and their applications will not be processed.4. Applicants qualifying under Requirement #4 must submit a copy of their completed and signed City of Los Angeles ""Verification of Work Experience"" form indicating the number of hours worked from the appointing City Department. The form may be downloaded at http://per.lacity.org/exams/vwe-sup.pdf or may be obtained at the Personnel Department, Room 100, 700 E. Temple Street, Los Angeles, CA 90012.  Applicants may attach the completed VWE form to their on-line application at the time of filing or will have seven (7) calendar days from the on-line submission date to submit a copy of their completed VWE form to: Personnel Department, Room 100, 700 E. Temple Street, Los Angeles, CA 90012. Applicants who fail to submit the documents within the time required will not be considered candidates in this examination and their applications will not be processed.5. Experience with a personal computer using word processing and database software is desired.",two,FULL TIME,zero,No School Type,M
7,ADVANCE PRACTICE PROVIDER CORRECTIONAL CARE 2325 020808 REV 111214.txt,advance practice provider correctional care,"['78,487', '97,530', '84,459', '104,922']",2008-02-08,"1. Must be licensed as a: a. Registered Nurse and certified as a Nurse Practitioner by the California Board of Registered Nursing with documentation of education and training as a Nurse Practitioner in family practice, adult, or emergency medicine, and possess a current license, Furnishing Number, and a Drug Enforcement Administration (DEA) registration number which provides the ability to provide drug/medication orders in the State of California; orb. Physician Assistant with documentation of education and training as a Physician Assistant in family practice, adult, or emergency medicine, and possess a current license and a Drug Enforcement Administration (DEA) registration number which provides the ability to provide drug/medication orders in the State of California; and  2. Must have a current, valid American Heart Association Healthcare Provider CPR card (Applicants must list the expiration date of their CPR card in the free-flowing text box on the application).","An Advance Practice Provider Correctional Care is responsible for obtaining medical histories, performing physical examinations, ordering and interpreting diagnostic tests, assessing medical conditions, providing medical care and treatment, and performing related duties as required under standardized procedures and/or protocols established by the department in one of the City's correctional care facilities.",OPEN COMPETITIVE BASIS,":1. In addition to the regular City Application form, each applicant is required to complete the Advance Practice Provider Correctional Care Training and Experience Questionnaire at the time of filing.  The Advance Practice Provider Correctional Care Training and Experience Questionnaire is located within the Supplemental Questions section of the City application.  Applicants who fail to complete the Training and Experience Questionnaire will not be considered further in this examination, and their application will not be processed2. Applicants must list their Furnishing Number and/or Drug Enforcement Administration (DEA) registration number on the Training and Experience Questionnaire.3. At the time of appointment, candidates must submit verification of their current, valid American Heart Association Healthcare Provider CPR card. ",zero,_,zero,No School Type,N
8,AIR CONDITIONING MECHANIC 3774 041417.txt,air conditioning mechanic,"['90,118', '99,054', '106,028']",2017-04-14,"1. Completion of a recognized apprenticeship as a refrigeration and air conditioning fitter; or2. Six years of full-time paid experience installing, modifying, maintaining, and repairing air conditioning, refrigeration, heating, ventilating, and related equipment.Completion of 12 semester or 18 quarter units in Air Conditioning Technology, Refrigeration and Air Conditioning Mechanics or Air Conditioning and Refrigeration Technology from a recognized college or trade school may be substituted for each year of the experience lacking specified in Requirement #2, up to a maximum of two years.  ","An Air Conditioning Mechanic installs, modifies, maintains, and repairs air-conditioning, refrigeration, heating, ventilating, and related equipment including control systems which may utilize electric, electronic, pneumatic or direct digital controls.",INTERDEPARTMENTAL PROMOTIONAL AND AN OPEN COMPETITIVE BASIS,":1. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.2. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.3. The current salary range is subject to change. You may confirm the starting salary with the hiring department before accepting a job offer.DUTIESAn Air Conditioning Mechanic installs, modifies, maintains, and repairs air-conditioning, refrigeration, heating, ventilating, and related equipment including control systems which may utilize electric, electronic, pneumatic or direct digital controls.REQUIREMENTS/MINIMUM QUALIFICATIONS1. Completion of a recognized apprenticeship as a refrigeration and air conditioning fitter; or2. Six years of full-time paid experience installing, modifying, maintaining, and repairing air conditioning, refrigeration, heating, ventilating, and related equipment.Completion of 12 semester or 18 quarter units in Air Conditioning Technology, Refrigeration and Air Conditioning Mechanics or Air Conditioning and Refrigeration Technology from a recognized college or trade school may be substituted for each year of the experience lacking specified in Requirement #2, up to a maximum of two years.  PROCESS NOTES1. Applicants filing under Requirement #1 must submit an Apprenticeship Certificate at the time of filing.  The copy of the Certificate must be attached to the online application BEFORE the application is submitted.  If the Certificate is attached AFTER the online application has been submitted, it will not be available to the City and applicants WILL NOT be credited with having submitted it.  Applicants who fail to submit the Certificate at the time of filing by attaching it to the online application will not be considered further in this examination.2. Applicants who lack six months or less of the required experience in Requirement #2 may file for this examination.  However, they cannot be appointed until the full experience is met.3. A valid California driver's license is required.  Applicants will be disqualified and not eligible for hire if their record within the last 36 months reflects three or more moving violations (such as DUI).4. In accordance with Section 608 of the Clean Air Act and SCAQMD Rule No. 1415, an Environmental Protection Agency (EPA) - approved Universal Technician Certificate is required prior to appointment.  Most positions require a Universal Technician Certificate.5.  Applicants filing under Requirement #2 using their City of Los Angeles experience must submit a ""Verification of Work Experience"" (VWE) form with the required signatures, verifying their experience installing, modifying, maintaining, and repairing air conditioning, refrigeration, heating, ventilating, and related equipment. Applicants required to submit a VWE form may attach the completed form to their online application at the time of filing or will have seven (7) calendar days from the online submission date to email a copy of their completed VWE form, including the required signatures, to per.appdocs@lacity.org. The subject line of your email must include the exam title, your name and indicate it is a VWE. In the body of your email, you must also include your first and last name, last four digits of your Social Security Number and contact phone number. Applicants who fail to submit their signed VWE form within the time required will not be considered further in this examination and their applications will not be processed.6. Applicants substituting education for experience must list their school name and location, course titles with the number of semester or quarter units, and completion dates in the Education section of the on-line application. 7. Candidates completing the examination process will be contacted by the Personnel Department to provide required proof of qualifying coursework.",six,FULL TIME,zero,Apprenticeship,R
9,AIR CONDITIONING MECHANIC SUPERVISOR 3781 111618 2.txt,air conditioning mechanic supervisor,"['103,841', '108,482', '127,388', '134,488']",2018-11-16,"Four years of full-time paid experience as an air conditioning mechanic or in a craft at the journey-level involved in the installation, modification, maintenance and repair of air conditioning, refrigeration, heating and ventilating equipment, two years of which must include experience working with one or more of the following controls:a. electric controlsb. electronic controlsc. pneumatic controlsd. direct digital control systemse. energy management and building automation controls","An Air Conditioning Mechanic Supervisor assigns, reviews and evaluates the work of a crew engaged in the installation, modification, maintenance and repair of refrigeration, air conditioning, heating and ventilating equipment and related facilities; lays out and prepares cost estimates for new installations; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",INTERDEPARTMENTAL PROMOTIONAL BASIS,":1. For information regarding reciprocity between the City of Los Angeles departments and LADWP, go to http://per.lacity.org/Reciprocity_CityDepts_and_DWP.pdf.2. Annual salary is at the start of the pay range. The current salary range is subject to change. Please confirm the starting salary with the hiring department before accepting a job offer. 3. Candidates from the eligible list are normally appointed to vacancies in the lower pay grade positions.DUTIESAn Air Conditioning Mechanic Supervisor assigns, reviews and evaluates the work of a crew engaged in the installation, modification, maintenance and repair of refrigeration, air conditioning, heating and ventilating equipment and related facilities; lays out and prepares cost estimates for new installations; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.REQUIREMENT/MINIMUM QUALIFICATIONFour years of full-time paid experience as an air conditioning mechanic or in a craft at the journey-level involved in the installation, modification, maintenance and repair of air conditioning, refrigeration, heating and ventilating equipment, two years of which must include experience working with one or more of the following controls:a. electric controlsb. electronic controlsc. pneumatic controlsd. direct digital control systemse. energy management and building automation controlsPROCESS NOTES1. Applicants who lack six months or less of the required experience may file for this examination. However, they cannot be appointed until the full experience requirement is met.2. A valid California driver's license is required. Applicants will be disqualified and not eligible for hire if their record within the last 36 months reflects three or more moving violations and/or at-fault accidents, or a conviction of a major moving violation (such as DUI).3. In accordance with Section 608 of the Clean Air Act, and Environmental Protection Agency (EPA) - Approved Universal Technician Certification is required at the time of filing. Applicants must provide their Certification ID number and Date of Certification.4. In addition to the regular City application, applicants using their City experience must submit a City of Los Angeles ""Verification of Work Experience"" (VWE) form, with the required signatures, which must indicate their experience in:a) installation, modification, maintenance and repair of air conditioning, refrigeration, heating and ventilating equipment; and b) working with one or more of the controls specified in the requirements;The VWE form should indicate the type of work performed and the amount of time spent performing such work. 5. The ""Verification of Work Experience"" (VWE) form may be downloaded http://per.lacity.org/exams/vwe-sup.pdf. Applicants may attach the completed VWE form to their on-line application at the time of filing, or will have seven (7) calendar days from the on-line submission date to e-mail a copy of their completed VWE form to per.appdocs@lacity.org. The subject line of your e-mail must include the exam title, your name and indication it is a VWE. In the body of your e-mail, you must also include your first and last name, last four digits of your Social Security Number and contact phone number. Applicants who fail to submit their signed VWE form within the time required will not be considered further in this examination. ",four,FULL TIME,zero,No School Type,R
